frame_id,obstacle_id,obstacle_class,stop_count,cuboid_x,cuboid_y,cuboid_z,obs_heading,obs_x,obs_y,obs_vx,obs_vy,obs_speed,rel_x,rel_y,dist_to_ego,rel_vx,rel_vy,ego_speed,ego_heading,ego_yaw_rate,dist_to_path,along_path_s,heading_vs_path,y_s1,y_s2,y_s3,y_s4,y_s5,y_s6,y_s9,y_s10,c_s1,c_s2,c_s3,c_s4,c_s5,c_s6,c_s9,c_s10
1774260392251,352,41,171,1.215699,0.300000,2.154746,141.011078,479.821734,660.684739,-0.939790,-1.161046,1.493731,168.752506,23.872186,170.432654,-1.889676,-1.030688,0.958789,268.560593,0.063354,90.423020,279.890117,141.011078,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260392251,149,42,255,1.150587,0.300000,0.780627,425.816269,934.965017,400.146076,-6.200408,2.784459,6.796931,623.895790,-236.666477,667.275789,-7.150295,2.914817,0.958789,268.560593,0.063354,167.836633,714.331240,129.251218,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260392251,235,42,255,1.454621,0.300000,1.246612,4.213522,813.253871,449.669011,0.000036,-0.000005,0.000036,502.184643,-187.143543,535.921750,-0.949851,0.130353,0.958789,268.560593,0.063354,64.943430,640.202589,94.213522,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260392251,86,42,157,0.713590,0.300000,0.467448,814.116163,494.335021,687.867172,-0.000001,-0.000007,0.000007,183.265793,51.054618,190.244382,-0.949887,0.130351,0.958789,268.560593,0.063354,117.605452,294.403403,94.116163,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260392251,115,42,191,0.983610,0.300000,0.716338,777.050875,758.288204,685.801901,0.000001,-0.000002,0.000002,447.218976,48.989347,449.894175,-0.949885,0.130356,0.958789,268.560593,0.063354,131.751883,519.609880,71.087118,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260392251,262,1,255,2.329024,0.000000,2.480508,1.505802,844.010822,576.280912,0.000033,-0.000003,0.000033,532.941594,-60.531642,536.368178,-0.949853,0.130355,0.958789,268.560593,0.063354,110.890544,569.609880,54.635904,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260392251,144,42,255,0.911053,0.300000,0.546542,723.057027,924.000801,462.094934,0.000004,-0.000000,0.000004,612.931573,-174.717620,637.347127,-0.949882,0.130358,0.958789,268.560593,0.063354,175.690360,627.776666,93.057027,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260392251,95,42,84,0.684912,0.300000,0.391314,1293.839099,568.396092,707.789652,0.425640,-0.634864,0.764344,257.326864,70.977098,266.936066,-0.524246,-0.504506,0.958789,268.560593,0.063354,137.527932,368.464474,-146.160901,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260392251,93,42,255,0.672840,0.300000,0.388688,982.840793,625.089582,660.062892,-0.000000,0.000005,0.000005,314.020354,23.250338,314.879915,-0.949886,0.130363,0.958789,268.560593,0.063354,89.801172,425.157964,-97.159207,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260392251,122,42,201,1.065105,0.300000,0.624269,754.241282,772.239444,705.952283,0.000002,-0.000002,0.000002,461.170217,69.139729,466.324213,-0.949884,0.130356,0.958789,268.560593,0.063354,155.351465,519.609880,48.277526,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260392251,120,1,228,4.947737,4.500000,7.751473,7.254734,880.277551,677.854747,0.000036,-0.000006,0.000037,569.208323,41.042193,570.686058,-0.949850,0.130352,0.958789,268.560593,0.063354,200.129504,522.715724,60.384837,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774260392251,118,42,255,0.834191,0.300000,0.476602,1050.931415,888.127030,449.900463,0.651228,1.171532,1.340367,577.057803,-186.912090,606.573851,-0.298658,1.301890,0.958789,268.560593,0.063354,138.310608,705.628061,34.366364,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
